ID магазина	Район	Адрес
M1	Oktabrskiy	просп. Мира, 45
M2	Первомайский	ул. Металлургов, 12
M3	Заречный	Колхозная, 11
M4	Первомайский	Заводская, 22
M5	Oktabrskiy	ул. Гагарина, 17
M6	Oktabrskiy	просп. Мира, 10
M7	Первомайский	Заводская, 3
M8	Первомайский	ул. Сталеваров, 14
M9	Заречный	Прибрежная, 7
M10	Oktabrskiy	пл. Революции, 1
M11	Заречный	Луговая, 21
M12	Первомайский	Мартеновская, 2
M13	Первомайский	Мартеновская, 36
M14	Заречный	Элеваторная, 15
M15	Oktabrskiy	Пушкинская, 8
M16	Первомайский	ул. Металлургов. 29
